client_id,job,age,marital,education,credit_default,mortgage
0,housemaid,56,married,basic_4y,True,True
1,services,57,married,high_school,True,True
2,services,37,married,high_school,True,True
3,admin_,40,married,basic_6y,True,True
4,services,56,married,high_school,True,True
5,services,45,married,basic_9y,True,True
6,admin_,59,married,professional_course,True,True
7,blue-collar,41,married,,True,True
8,technician,24,single,professional_course,True,True
9,services,25,single,high_school,True,True
10,blue-collar,41,married,,True,True
11,services,25,single,high_school,True,True
12,blue-collar,29,single,high_school,True,True
13,housemaid,57,divorced,basic_4y,True,True
14,blue-collar,35,married,basic_6y,True,True
15,retired,54,married,basic_9y,True,True
16,blue-collar,35,married,basic_6y,True,True
17,blue-collar,46,married,basic_6y,True,True
18,blue-collar,50,married,basic_9y,True,True
19,management,39,single,basic_9y,True,True
20,unemployed,30,married,high_school,True,True
21,blue-collar,55,married,basic_4y,True,True
22,retired,55,single,high_school,True,True
23,technician,41,single,high_school,True,True
24,admin_,37,married,high_school,True,True
25,technician,35,married,university_degree,True,True
26,technician,59,married,,True,True
27,self-employed,39,married,basic_9y,True,True
28,technician,54,single,university_degree,True,True
29,unknown,55,married,university_degree,True,True
30,admin_,46,married,,True,True
31,technician,59,married,,True,True
32,blue-collar,49,married,,True,True
33,management,54,married,basic_4y,True,True
34,blue-collar,54,divorced,basic_4y,True,True
35,unknown,55,married,basic_4y,True,True
36,services,34,married,high_school,True,True
37,technician,52,married,basic_9y,True,True
38,admin_,41,married,university_degree,True,True
39,technician,56,married,basic_4y,True,True
40,management,58,unknown,university_degree,True,True
41,entrepreneur,32,married,high_school,True,True
42,admin_,38,single,professional_course,True,True
43,admin_,57,married,university_degree,True,True
44,admin_,44,married,university_degree,True,True
45,technician,42,single,professional_course,True,True
46,admin_,57,married,university_degree,True,True
47,blue-collar,40,married,basic_9y,True,True
48,admin_,35,married,university_degree,True,True
49,blue-collar,45,married,basic_9y,True,True
50,admin_,54,married,high_school,True,True
51,housemaid,39,married,basic_4y,True,True
52,admin_,60,married,high_school,True,True
53,admin_,53,single,professional_course,True,True
54,blue-collar,55,married,basic_4y,True,True
55,technician,55,married,professional_course,True,True
56,management,50,married,university_degree,True,True
57,services,45,married,high_school,True,True
58,unemployed,55,married,professional_course,True,True
59,technician,25,single,university_degree,True,True
60,entrepreneur,47,married,university_degree,True,True
61,blue-collar,51,married,basic_9y,True,True
62,blue-collar,42,married,basic_6y,True,True
63,blue-collar,42,married,basic_6y,True,True
64,admin_,48,married,high_school,True,True
65,admin_,37,married,university_degree,True,True
66,blue-collar,44,single,basic_9y,True,True
67,admin_,33,married,,True,True
68,admin_,56,married,basic_9y,True,True
69,blue-collar,44,single,basic_4y,True,True
70,management,41,married,basic_6y,True,True
71,management,44,divorced,university_degree,True,True
72,admin_,47,married,university_degree,True,True
73,unknown,57,married,,True,True
74,admin_,37,married,university_degree,True,True
75,blue-collar,41,divorced,basic_4y,True,True
76,technician,55,married,university_degree,True,True
77,services,33,married,high_school,True,True
78,management,55,married,,True,True
79,blue-collar,42,married,basic_9y,True,True
80,blue-collar,50,married,basic_4y,True,True
81,blue-collar,51,married,basic_4y,True,True
82,admin_,38,married,high_school,True,True
83,entrepreneur,49,married,university_degree,True,True
84,technician,38,single,university_degree,True,True
85,admin_,31,divorced,high_school,True,True
86,management,41,married,basic_6y,True,True
87,admin_,39,married,university_degree,True,True
88,technician,49,married,basic_9y,True,True
89,admin_,34,married,high_school,True,True
90,admin_,35,married,university_degree,True,True
